time,AmbientTemperature,Ignition
2023-05-24 12:24:29.551000+00:00,38.0,1.0
2023-05-24 12:24:33.871000+00:00,37.2,1.0
2023-05-24 12:25:02.673000+00:00,38.0,1.0
2023-05-24 12:30:32.452000+00:00,37.2,1.0
2023-05-24 12:38:24.799000+00:00,38.0,1.0
2023-05-24 12:44:59.381000+00:00,37.2,1.0
2023-05-24 12:50:24.839000+00:00,38.0,1.0
2023-05-24 12:51:52.684000+00:00,37.2,1.0
2023-05-24 12:52:15.726000+00:00,38.0,1.0
2023-05-24 12:52:48.848000+00:00,37.2,1.0
2023-05-24 12:53:16.210000+00:00,38.0,1.0
2023-05-24 12:57:38.304000+00:00,39.2,1.0
2023-05-24 13:01:05.676000+00:00,38.0,1.0
2023-05-24 13:04:01.366000+00:00,39.2,1.0
2023-05-24 13:06:00.892000+00:00,38.0,1.0
2023-05-24 13:16:25.890000+00:00,39.2,1.0
2023-05-24 13:17:13.411000+00:00,38.0,1.0
2023-05-24 13:21:08.144000+00:00,37.2,1.0
2023-05-24 13:26:09.121000+00:00,36.0,1.0
2023-05-24 13:33:38.427000+00:00,37.2,1.0
2023-05-24 13:36:54.278000+00:00,36.0,1.0
2023-05-24 13:38:35.083000+00:00,35.2,1.0
2023-05-24 13:39:09.645000+00:00,36.0,1.0
2023-05-24 13:39:13.966000+00:00,35.2,1.0
2023-05-24 13:39:18.286000+00:00,36.0,1.0
2023-05-24 13:39:25.486000+00:00,35.2,1.0
2023-05-24 13:39:31.247000+00:00,36.0,1.0
2023-05-24 13:45:11.106000+00:00,35.2,1.0
2023-05-24 14:15:55.851000+00:00,34.0,1.0
2023-05-24 14:19:49.145000+00:00,35.2,1.0
2023-05-24 14:21:06.909000+00:00,34.0,1.0
2023-05-24 14:35:20.878000+00:00,33.2,1.0
2023-05-24 14:49:07.485000+00:00,34.0,1.0
2023-05-24 14:52:33.417000+00:00,33.2,1.0
2023-05-24 14:53:38.223000+00:00,34.0,1.0
2023-05-24 14:54:25.743000+00:00,33.2,1.0
2023-05-24 15:00:25.763000+00:00,34.0,1.0
2023-05-24 15:01:26.247000+00:00,33.2,1.0
2023-05-24 15:01:32.007000+00:00,34.0,1.0
2023-05-24 15:02:51.212000+00:00,33.2,1.0
2023-05-24 15:15:48.855000+00:00,34.0,1.0
2023-05-24 15:43:42.230000+00:00,33.2,1.0
2023-05-24 15:43:47.990000+00:00,34.0,1.0
2023-05-24 15:43:59.511000+00:00,33.2,1.0
2023-05-24 15:44:06.711000+00:00,34.0,1.0
2023-05-24 15:47:09.601000+00:00,33.2,1.0
2023-05-24 15:59:57.165000+00:00,32.0,1.0
2023-05-24 16:00:08.685000+00:00,33.2,1.0
2023-05-24 16:00:14.446000+00:00,32.0,1.0
2023-05-24 16:00:21.646000+00:00,33.2,1.0
2023-05-24 16:06:14.466000+00:00,32.0,1.0
2023-05-24 16:06:59.108000+00:00,33.2,1.0
2023-05-24 16:07:17.829000+00:00,32.0,1.0
2023-05-24 16:07:22.150000+00:00,33.2,1.0
2023-05-24 16:07:27.910000+00:00,32.0,1.0
2023-05-24 16:07:37.991000+00:00,33.2,1.0
2023-05-24 16:09:30.317000+00:00,32.0,1.0
2023-05-24 16:09:53.358000+00:00,33.2,1.0
2023-05-24 16:10:03.439000+00:00,32.0,1.0
2023-05-24 16:10:13.519000+00:00,33.2,1.0
2023-05-24 16:12:01.525000+00:00,32.0,1.0
2023-05-24 16:18:40.428000+00:00,33.2,1.0
2023-05-24 16:19:36.591000+00:00,32.0,1.0
2023-05-24 16:25:04.930000+00:00,33.2,1.0
2023-05-24 16:26:01.093000+00:00,32.0,1.0
2023-05-24 16:38:25.615000+00:00,31.2,1.0
2023-05-24 16:38:57.297000+00:00,32.0,1.0
2023-05-24 16:39:20.338000+00:00,31.2,1.0
2023-05-24 17:18:57.901000+00:00,31.2,1.0
2023-05-24 17:18:57.901000+00:00,31.2,1.0
2023-05-24 17:22:02.137000+00:00,32.0,1.0
2023-05-24 17:22:06.457000+00:00,31.2,1.0
2023-05-24 17:22:19.418000+00:00,32.0,1.0
2023-05-24 17:27:40.556000+00:00,31.2,1.0
2023-05-24 17:34:38.180000+00:00,32.0,1.0
2023-05-24 17:34:42.500000+00:00,31.2,1.0
2023-05-24 17:34:54.020000+00:00,32.0,1.0
2023-05-24 17:35:38.663000+00:00,31.2,1.0
2023-05-24 17:35:50.184000+00:00,32.0,1.0
2023-05-24 17:36:01.704000+00:00,31.2,1.0
2023-05-24 17:42:08.925000+00:00,32.0,1.0
2023-05-24 17:42:20.446000+00:00,31.2,1.0
2023-05-24 17:42:33.406000+00:00,32.0,1.0
2023-05-24 17:49:02.228000+00:00,31.2,1.0
2023-05-24 17:54:21.926000+00:00,32.0,1.0
2023-05-24 17:54:26.248000+00:00,31.2,1.0
2023-05-24 18:01:19.550000+00:00,32.0,1.0
2023-05-24 18:04:25.320000+00:00,31.2,1.0
2023-05-24 18:04:32.521000+00:00,32.0,1.0
2023-05-24 18:04:45.481000+00:00,31.2,1.0
2023-05-24 18:04:55.562000+00:00,32.0,1.0
2023-05-24 18:07:42.611000+00:00,33.2,1.0
2023-05-24 18:09:24.857000+00:00,32.0,1.0
2023-05-24 18:09:50.779000+00:00,33.2,1.0
2023-05-24 18:25:32.592000+00:00,32.0,1.0
2023-05-24 18:29:48.926000+00:00,31.2,1.0
2023-05-24 18:29:54.687000+00:00,32.0,1.0
2023-05-24 18:30:06.207000+00:00,31.2,1.0
2023-05-24 18:30:17.730000+00:00,32.0,1.0
2023-05-24 18:30:26.368000+00:00,31.2,1.0
2023-05-24 18:30:36.449000+00:00,32.0,1.0
2023-05-24 18:30:49.410000+00:00,31.2,1.0
2023-05-24 18:32:12.934000+00:00,32.0,1.0
2023-05-24 18:38:53.277000+00:00,31.2,1.0
2023-05-24 18:41:53.287000+00:00,32.0,1.0
2023-05-24 18:42:01.927000+00:00,31.2,1.0
2023-05-24 18:42:09.128000+00:00,32.0,1.0
2023-05-24 18:42:26.409000+00:00,31.2,1.0
2023-05-24 18:42:30.729000+00:00,32.0,1.0
2023-05-24 18:48:50.911000+00:00,31.2,1.0
2023-05-24 18:55:25.493000+00:00,30.0,1.0
2023-05-24 19:01:03.912000+00:00,31.2,1.0
2023-05-24 19:03:50.961000+00:00,30.0,1.0
2023-05-24 19:08:28.897000+00:00,29.2,1.0
2023-05-24 19:10:19.783000+00:00,30.0,1.0
2023-05-24 19:20:13.097000+00:00,29.2,1.0
2023-05-24 19:30:17.931000+00:00,28.0,1.0
2023-05-24 19:31:41.456000+00:00,29.2,1.0
2023-05-24 19:33:23.702000+00:00,28.0,1.0
2023-05-24 19:34:12.664000+00:00,29.2,1.0
2023-05-24 19:42:43.893000+00:00,30.0,1.0
2023-05-24 19:52:50.167000+00:00,31.2,1.0
2023-05-24 19:57:49.704000+00:00,30.0,1.0
2023-05-24 20:01:32.920000+00:00,31.2,1.0
2023-05-24 20:05:50.691000+00:00,30.0,1.0
2023-05-24 20:06:54.055000+00:00,31.2,1.0
2023-05-24 20:14:53.602000+00:00,32.0,1.0
2023-05-24 20:51:19.645000+00:00,31.2,1.0
2023-05-24 20:57:25.426000+00:00,32.0,1.0
2023-05-24 20:58:48.954000+00:00,31.2,1.0
2023-05-24 21:00:51.358000+00:00,30.0,1.0
2023-05-24 21:00:58.558000+00:00,31.2,1.0
2023-05-24 21:13:33.161000+00:00,30.0,1.0
2023-05-24 21:15:57.169000+00:00,31.2,1.0
2023-05-24 21:20:46.625000+00:00,30.0,1.0
2023-05-24 21:24:24.078000+00:00,29.2,1.0
2023-05-24 21:29:13.534000+00:00,28.0,1.0
2023-05-24 21:32:16.424000+00:00,27.2,1.0
2023-05-24 21:32:33.705000+00:00,28.0,1.0
2023-05-24 21:33:57.230000+00:00,27.2,1.0
2023-05-24 21:34:01.550000+00:00,28.0,1.0
2023-05-24 21:34:36.112000+00:00,27.2,1.0
2023-05-24 21:34:49.073000+00:00,28.0,1.0
2023-05-24 21:34:53.393000+00:00,27.2,1.0
2023-05-24 21:34:57.713000+00:00,28.0,1.0
2023-05-24 21:40:54.853000+00:00,27.2,1.0
2023-05-24 21:42:34.219000+00:00,28.0,1.0
2023-05-24 21:43:57.743000+00:00,27.2,1.0
2023-05-24 21:44:33.745000+00:00,28.0,1.0
2023-05-24 21:46:01.590000+00:00,27.2,1.0
2023-05-24 21:46:23.191000+00:00,28.0,1.0
2023-05-24 21:51:29.931000+00:00,27.2,1.0
2023-05-24 21:52:24.651000+00:00,28.0,1.0
2023-05-24 21:58:47.713000+00:00,27.2,1.0
2023-05-24 22:04:01.650000+00:00,28.0,1.0
2023-05-24 22:04:56.373000+00:00,27.2,1.0
2023-05-24 22:05:41.015000+00:00,28.0,1.0
2023-05-24 22:09:17.027000+00:00,27.2,1.0
2023-05-24 22:15:27.127000+00:00,28.0,1.0
2023-05-24 22:21:17.067000+00:00,27.2,1.0
2023-05-24 22:26:18.043000+00:00,28.0,1.0
2023-05-24 22:28:53.572000+00:00,29.2,1.0
2023-05-24 22:34:11.829000+00:00,28.0,1.0
2023-05-24 22:43:10.419000+00:00,29.2,1.0
2023-05-24 22:44:06.582000+00:00,28.0,1.0
2023-05-24 22:45:12.825000+00:00,29.2,1.0
2023-05-24 22:48:40.197000+00:00,30.0,1.0
2023-05-24 22:50:03.721000+00:00,29.2,1.0
2023-05-24 22:50:59.884000+00:00,30.0,1.0
2023-05-24 22:51:22.926000+00:00,29.2,1.0
2023-05-24 22:51:38.767000+00:00,30.0,1.0
2023-05-24 23:11:23.951000+00:00,29.2,1.0
2023-05-24 23:34:07.706000+00:00,30.0,1.0
2023-05-24 23:34:20.668000+00:00,29.2,1.0
2023-05-24 23:36:23.074000+00:00,30.0,1.0
2023-05-24 23:40:10.606000+00:00,29.2,1.0
2023-05-24 23:41:57.172000+00:00,30.0,1.0
2023-05-24 23:46:35.107000+00:00,29.2,1.0
2023-05-24 23:46:45.188000+00:00,30.0,1.0
2023-05-24 23:46:56.708000+00:00,29.2,1.0
2023-05-24 23:53:06.808000+00:00,28.0,1.0
2023-05-24 23:54:10.172000+00:00,27.2,1.0
2023-05-24 23:57:15.942000+00:00,28.0,1.0
2023-05-25 00:00:13.072000+00:00,29.2,1.0
2023-05-25 00:00:31.793000+00:00,28.0,1.0
2023-05-25 00:00:36.113000+00:00,29.2,1.0
2023-05-25 00:08:39.980000+00:00,28.0,1.0
2023-05-25 00:10:19.345000+00:00,29.2,1.0
2023-05-25 00:11:48.630000+00:00,28.0,1.0
2023-05-25 00:12:00.151000+00:00,29.2,1.0
2023-05-25 00:12:07.351000+00:00,28.0,1.0
2023-05-25 00:12:50.553000+00:00,27.2,1.0
2023-05-25 00:13:35.196000+00:00,28.0,1.0
2023-05-25 00:13:46.716000+00:00,27.2,1.0
2023-05-25 00:15:03.041000+00:00,26.0,1.0
2023-05-25 00:15:10.241000+00:00,27.2,1.0
2023-05-25 00:15:14.561000+00:00,26.0,1.0
2023-05-25 00:18:24.652000+00:00,27.2,1.0
2023-05-25 00:23:31.389000+00:00,26.0,1.0
2023-05-25 00:24:20.351000+00:00,27.2,1.0
2023-05-25 00:24:27.552000+00:00,26.0,1.0
2023-05-25 00:24:41.952000+00:00,27.2,1.0
2023-05-25 00:24:47.713000+00:00,26.0,1.0
2023-05-25 00:28:02.123000+00:00,25.2,1.0
2023-05-25 00:31:41.016000+00:00,26.0,1.0
2023-05-25 00:34:00.703000+00:00,27.2,1.0
2023-05-25 00:35:24.228000+00:00,26.0,1.0
2023-05-25 00:37:59.756000+00:00,25.2,1.0
2023-05-25 00:46:03.623000+00:00,26.0,1.0
2023-05-25 00:46:20.904000+00:00,25.2,1.0
2023-05-25 00:46:48.265000+00:00,26.0,1.0
2023-05-25 00:53:40.128000+00:00,25.2,1.0
2023-05-25 00:53:44.448000+00:00,26.0,1.0
2023-05-25 00:53:51.649000+00:00,25.2,1.0
2023-05-25 00:56:58.859000+00:00,24.0,1.0
2023-05-25 00:58:22.383000+00:00,25.2,1.0
2023-05-25 01:05:32.967000+00:00,26.0,1.0
2023-05-25 01:09:14.739000+00:00,27.2,1.0
2023-05-25 01:09:26.260000+00:00,26.0,1.0
2023-05-25 01:09:42.101000+00:00,27.2,1.0
2023-05-25 01:12:46.431000+00:00,28.0,1.0
2023-05-25 01:15:49.321000+00:00,27.2,1.0
2023-05-25 01:16:00.847000+00:00,28.0,1.0
2023-05-25 01:16:08.042000+00:00,27.2,1.0
2023-05-25 01:16:12.362000+00:00,28.0,1.0
2023-05-25 01:23:53.187000+00:00,29.2,1.0
2023-05-25 01:26:20.078000+00:00,28.0,1.0
2023-05-25 01:27:07.598000+00:00,29.2,1.0
2023-05-25 01:38:01.394000+00:00,30.0,1.0
2023-05-25 01:41:04.284000+00:00,29.2,1.0
2023-05-25 01:41:31.645000+00:00,30.0,1.0
2023-05-25 01:42:11.967000+00:00,29.2,1.0
2023-05-25 01:46:26.861000+00:00,30.0,1.0
2023-05-25 01:46:36.942000+00:00,29.2,1.0
2023-05-25 01:46:44.142000+00:00,30.0,1.0
2023-05-25 01:50:15.834000+00:00,31.2,1.0
2023-05-25 01:50:59.036000+00:00,30.0,1.0
2023-05-25 01:52:39.842000+00:00,31.2,1.0
2023-05-25 01:52:47.042000+00:00,30.0,1.0
2023-05-25 01:53:02.883000+00:00,31.2,1.0
2023-05-25 01:56:21.614000+00:00,30.0,1.0
2023-05-25 01:57:52.339000+00:00,31.2,1.0
2023-05-25 04:27:09.065000+00:00,34.0,1.0
2023-05-25 04:27:09.065000+00:00,34.0,1.0
2023-05-25 04:30:10.573000+00:00,35.2,1.0
2023-05-25 04:30:23.540000+00:00,34.0,1.0
2023-05-25 04:30:27.863000+00:00,35.2,1.0
2023-05-25 04:35:52.045000+00:00,36.0,1.0
2023-05-25 04:35:57.808000+00:00,35.2,1.0
2023-05-25 04:36:02.130000+00:00,36.0,1.0
2023-05-25 04:36:53.999000+00:00,35.2,1.0
2023-05-25 04:37:04.085000+00:00,36.0,1.0
2023-05-25 04:37:48.728000+00:00,35.2,1.0
2023-05-25 04:38:06.009000+00:00,36.0,1.0
2023-05-25 04:41:16.100000+00:00,37.2,1.0
2023-05-25 04:49:01.248000+00:00,36.0,1.0
2023-05-25 04:49:12.769000+00:00,37.2,1.0
2023-05-25 04:52:57.422000+00:00,36.0,1.0
2023-05-25 04:53:31.984000+00:00,37.2,1.0
2023-05-25 04:53:40.624000+00:00,36.0,1.0
